Time (UTC -07:00 M/d/yyyy h:mm:ss tt),Δ Prev trigger (ps),"Mean (A, Between rulers) (V)","Peak to peak (A, Between rulers) (V)","RMS ripple (A, Between rulers) (V)",Mean (D) (V),"RMS ripple (A, Between rulers) (V)"
4/2/2025 2:28:03 PM,27456350716383,0.006004925,0.0002262718,3.200549E-05,NaN,3.200549E-05
4/2/2025 2:28:31 PM,27504673509891,0.005993627,0.0002449243,4.208495E-05,NaN,4.208495E-05
4/2/2025 2:28:58 PM,27425317499268,0.006023547,0.000234222,3.921485E-05,NaN,3.921485E-05
4/2/2025 2:29:26 PM,27519412906422,0.00591097,0.000234528,3.536953E-05,NaN,3.536953E-05
4/2/2025 2:29:53 PM,27439491193962,0.00602183,0.0002323873,3.290379E-05,NaN,3.290379E-05
4/2/2025 2:30:21 PM,27430627861983,0.005974112,0.0002412549,3.776099E-05,NaN,3.776099E-05
4/2/2025 2:30:48 PM,27401129977740,0.005985152,0.0002027275,2.915152E-05,NaN,2.915152E-05
4/2/2025 2:31:15 PM,27473084638929,0.005827666,0.0002363627,3.174091E-05,NaN,3.174091E-05
4/2/2025 2:31:43 PM,27393945664890,0.005963491,0.0002189334,3.317307E-05,NaN,3.317307E-05
4/2/2025 2:32:10 PM,27407169824529,0.00597083,0.0002446184,3.351093E-05,NaN,3.351093E-05
4/2/2025 2:32:38 PM,27410484656430,0.005842441,0.0002036449,3.295497E-05,NaN,3.295497E-05
4/2/2025 2:33:05 PM,27569922142554,0.005871345,0.0002366682,3.492745E-05,NaN,3.492745E-05
4/2/2025 2:33:33 PM,27407848063854,0.005905412,0.0002556262,4.401282E-05,NaN,4.401282E-05
4/2/2025 2:34:00 PM,27463520962047,0.005947087,0.0002002814,3.332175E-05,NaN,3.332175E-05
4/2/2025 2:34:28 PM,27520966325676,0.005832269,0.000269386,3.753321E-05,NaN,3.753321E-05
4/2/2025 2:34:55 PM,27449616553485,0.005934659,0.0002495106,4.02018E-05,NaN,4.02018E-05
4/2/2025 2:35:22 PM,27485749125525,0.005961684,0.0002180161,3.092058E-05,NaN,3.092058E-05
