Start: 2025-04-04T13:10:23
ms	X1(V)	Y1(V)	I1(V)	X2(V)	Y2(V)	I2(V)	RX1(V)	RY1(V)	RX2(V)	RY2(V)
1924	0.006	0.008	0.04	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1934	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.12	5.05	5.05
1944	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1954	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1964	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1974	0.006	0.008	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1984	0.004	0.004	0.03	0.004	0.004	0.02	4.39	5.13	5.05	5.05
1989	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2009	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2019	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2029	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2039	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
2049	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2059	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2069	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.06
2074	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2086	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
2096	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2106	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2116	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2126	0.006	0.006	0.04	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2136	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
2146	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2156	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2161	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2166	0.006	0.006	0.04	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2171	0.004	0.004	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.05
2176	0.006	0.008	0.04	0.008	0.006	0.02	4.39	5.13	5.06	5.05
2181	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2186	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2191	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2196	0.004	0.004	0.03	0.004	0.004	0.02	4.39	5.13	5.06	5.05
2201	0.006	0.008	0.04	0.008	0.006	0.02	4.39	5.13	5.05	5.05
2206	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2211	0.004	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
